Nombre_de_consultations;Date
678;2016-01-03
647;2016-01-04
219;2016-01-05
444;2016-01-06
659;2016-01-07
660;2016-01-08
445;2016-01-09
230;2016-01-10
215;2016-01-11
214;2016-01-12
230;2016-01-14
666;2016-01-15
216;2016-01-17
448;2016-01-18
229;2016-01-19
215;2016-01-20
229;2016-01-21
215;2016-01-23
464;2016-01-24
234;2016-01-25
680;2016-01-26
685;2016-01-27
914;2016-01-28
666;2016-01-29
680;2016-01-30
